order_id,order_date,region,customer_id,product_id,quantity,unit_price,sales_rep
ORD-1001,14 04 2026,North,C002,P108,2,25,Ben
ORD-1002,14 04 2026,North,C035,P102,5,75,Ana
ORD-1003,14 04 2026,North,C006,P106,2,120,Ana
ORD-1004,14 04 2026,South,C035,P113,2,75,Cara
ORD-1005,14 04 2026,North,C011,P113,3,49.5,Ben
ORD-1006,14 04 2026,South,C022,P103,1,75,Ana
ORD-1007,14 04 2026,East,C023,P119,3,19.99,Dan
ORD-1008,14 04 2026,North,C025,P102,5,49.5,Cara
ORD-1009,14 04 2026,South,C005,P101,2,49.5,Ana
ORD-1010,14 04 2026,South,C007,P112,3,75,Cara
ORD-1011,14 04 2026,South,C024,P111,2,300,Cara
ORD-1012,14 04 2026,North,C039,P105,5,300,Ben
ORD-1013,14 04 2026,South,C030,P112,3,300,Ben
ORD-1014,14 04 2026,East,C004,P107,1,49.5,Dan
ORD-1015,14 04 2026,East,C005,P106,5,300,Cara
ORD-1016,14 04 2026,South,C032,P112,4,25,Cara
ORD-1017,14 04 2026,South,C016,P117,5,49.5,Dan
ORD-1018,14 04 2026,West,C024,P107,2,120,Dan
ORD-1019,14 04 2026,North,C004,P103,2,300,Ben
ORD-1020,14 04 2026,West,C039,P102,4,75,Dan
ORD-1021,14 04 2026,East,C036,P100,1,300,Cara
ORD-1022,14 04 2026,East,C008,P109,4,25,Dan
ORD-1023,14 04 2026,North,C017,P116,2,120,Ana
ORD-1024,14 04 2026,East,C033,P119,2,25,Cara
ORD-1025,14 04 2026,South,C035,P116,1,120,Cara
ORD-1026,14 04 2026,West,C002,P103,3,49.5,Ben
ORD-1027,14 04 2026,North,C016,P118,1,19.99,Dan
ORD-1028,14 04 2026,North,C035,P104,2,300,Dan
ORD-1029,14 04 2026,South,C017,P116,5,75,Ben
ORD-1030,14 04 2026,South,C020,P112,3,75,Dan
ORD-1031,14 04 2026,North,C016,P107,1,49.5,Ana
ORD-1032,14 04 2026,South,C038,P107,1,19.99,Ana
ORD-1033,14 04 2026,South,C005,P101,3,19.99,Ben
ORD-1034,14 04 2026,East,C032,P106,5,25,Dan
ORD-1035,14 04 2026,South,C031,P113,2,19.99,Ana
ORD-1036,14 04 2026,West,C023,P113,4,75,Ana
ORD-1037,14 04 2026,North,C004,P112,3,19.99,Ben
ORD-1038,14 04 2026,South,C013,P117,4,25,Dan
ORD-1039,14 04 2026,South,C018,P114,2,19.99,Dan
ORD-1040,14 04 2026,North,C004,P117,1,19.99,Ben
ORD-1041,14 04 2026,South,C027,P115,4,25,Dan
ORD-1042,14 04 2026,North,C011,P112,1,75,Cara
ORD-1043,14 04 2026,West,C019,P113,5,300,Dan
ORD-1044,14 04 2026,South,C013,P109,2,19.99,Ana
ORD-1045,14 04 2026,East,C004,P101,5,75,Ben
ORD-1046,14 04 2026,North,C033,P102,2,19.99,Ana
ORD-1047,14 04 2026,South,C026,P103,5,25,Ana
ORD-1048,14 04 2026,North,C027,P118,5,120,Cara
ORD-1049,14 04 2026,East,C014,P110,2,49.5,Dan
ORD-1050,14 04 2026,South,C020,P114,3,19.99,Ana
ORD-1051,14 04 2026,West,C037,P103,1,120,Ben
ORD-1052,14 04 2026,East,C009,P111,1,25,Cara
ORD-1053,14 04 2026,East,C011,P114,5,300,Cara
ORD-1054,14 04 2026,North,C036,P109,1,25,Cara
ORD-1055,14 04 2026,North,C007,P117,2,49.5,Cara
ORD-1056,14 04 2026,South,C022,P106,3,120,Dan
ORD-1057,14 04 2026,East,C004,P102,4,49.5,Ana
ORD-1058,14 04 2026,North,C022,P104,3,25,Dan
ORD-1059,14 04 2026,West,C036,P100,1,19.99,Ben
ORD-1060,14 04 2026,North,C024,P118,5,25,Dan
ORD-1061,14 04 2026,South,C003,P109,3,19.99,Cara
ORD-1062,14 04 2026,South,C016,P103,3,120,Dan
ORD-1063,14 04 2026,South,C016,P105,2,75,Ana
ORD-1064,14 04 2026,South,C022,P113,2,49.5,Ben
ORD-1065,14 04 2026,North,C025,P101,4,25,Ben
ORD-1066,14 04 2026,West,C023,P109,2,25,Ana
ORD-1067,14 04 2026,South,C026,P110,3,19.99,Cara
ORD-1068,14 04 2026,East,C033,P112,5,49.5,Ana
ORD-1069,14 04 2026,North,C017,P105,5,49.5,Ana
ORD-1070,14 04 2026,North,C039,P113,3,300,Cara
ORD-1071,14 04 2026,West,C039,P116,1,75,Ben
ORD-1072,14 04 2026,East,C003,P113,1,120,Ben
ORD-1073,14 04 2026,East,C028,P102,3,120,Cara
ORD-1074,14 04 2026,North,C020,P116,3,300,Dan
ORD-1075,14 04 2026,East,C026,P109,5,25,Ben
ORD-1076,14 04 2026,West,C025,P105,5,120,Cara
ORD-1077,14 04 2026,West,C036,P100,3,49.5,Ben
ORD-1078,14 04 2026,West,C038,P119,3,75,Dan
ORD-1079,14 04 2026,West,C014,P116,4,300,Ben
ORD-1080,14 04 2026,North,C019,P116,5,49.5,Ana
ORD-1081,14 04 2026,South,C020,P107,2,25,Ana
ORD-1082,14 04 2026,North,C016,P115,5,19.99,Dan
ORD-1083,14 04 2026,West,C037,P106,4,75,Dan
ORD-1084,14 04 2026,South,C010,P100,1,75,Ben
